CPD_ID	CPD_NAME	mz_row_Statistic	From_mz_row	From_EmpiricalCompound
C05634	5-Hydroxyindoleacetaldehyde	-2.6418488794063	row180	E172
C00073	L-Methionine	-3.8180335762126703	row95	E115
C05938	L-4-Hydroxyglutamate semialdehyde	-4.9255578405274	row47	E40
tetpent6crn	tetracosapentaenoyl carnitine	-2.94670313150837	row160	E176
C00525	D-Tryptophan	-2.49365581997536	row198	E202
C00025	L-Glutamate	-6.1652885036289	row18	E43
C00906	5,6-Dihydrothymine	-6.42233416728605	row13	E15
C02642	N-Carbamoyl-beta-alanine	-2.93097265337314	row161	E62
C00217	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid	-4.02065486780176	row82	E41
C05100	3-Ureidoisobutyrate	-6.1652885036289	row18	E11
C05100	3-Ureidoisobutyrate	-3.95751374814726	row87	E7
C05100	3-Ureidoisobutyrate	-7.0509951067664405	row2	E11
C04148	alpha-N-Phenylacetyl-L-glutamine	-2.5818712934750696	row185	E209
C00078	L-Tryptophan	-2.60709404356149	row183	E202
C06124	Sphingosine 1-phosphate	-5.37195201796823	row29	E70
C00245	Taurine	-6.770043498975902	row5	E24
C00267	alpha-D-Glucose	3.0351969498508704	row153	E170
C00025	L-Glutamate	3.01612023805737	row155	E41
C02990	L-Palmitoylcarnitine	-4.218389883891311	row71	E90
C00152	L-Asparagine	5.96814234914652	row21	E61
C02336	beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose	3.0351969498508704	row153	E170
C00954	Indole-3-acetate	-2.6418488794063	row180	E172
C00819	D-Glutamine; D-2-Aminoglutaramic acid	-6.4536779860596205	row11	E11
C05660	5-Methoxyindoleacetate	-2.60709404356149	row183	E205
C00064	L-Glutamine	-4.05052161896571	row79	E11
C00073	L-Methionine	-3.6001523834486697	row108	E115
C00153	Nicotinamide	-3.1429894478164	row140	E153
C00025	L-Glutamate	-4.9255578405274	row47	E40
c226crn	cervonyl carnitine	-3.67352632987426	row104	E129
C00159	D-Mannose	3.0351969498508704	row153	E170
C00247	L-Sorbose; L-xylo-Hexulose	3.0351969498508704	row153	E170
