pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Nitrogen metabolism	8	10	0.0006722124191244433	E11,E7,E47,E27,E48,E9,E28,E50	C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C02642/C00152,C00217/C00025/C05938,C00064/C05100/C00819,C02642/C00152,C00217/C00025/C05938	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Carbamoyl-beta-alanine/L-Asparagine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Tryptophan metabolism	12	18	0.0008402655239055541	E103,E47,E200,E48,E221,E196,E133,E197,E223,E50,E161,E150	C00328/C05647,C00217/C00025/C05938,C01252,C00217/C00025/C05938,C00078/C00525,C04148/C05642,C00954/C05634,C01717/C14800/C14802,C05660,C00217/C00025/C05938,CE2122,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	L-Kynurenine/Formyl-5-hydroxykynurenamine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$4-(2-Aminophenyl)-2,4-dioxobutanoate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Tryptophan/D-Tryptophan$alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$Indole-3-acetate/5-Hydroxyindoleacetaldehyde$4-Hydroxy-2-quinolinecarboxylic acid/1-Nitronaphthalene-5,6-oxide/1-Nitronaphthalene-7,8-oxide$5-Methoxyindoleacetate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$methyl indole-3-acetate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
Alanine and Aspartate Metabolism	9	13	0.00201663725737333	E11,E7,E47,E27,E48,E9,E28,E50,E208	C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C02642/C00152,C00217/C00025/C05938,C00064/C05100/C00819,C02642/C00152,C00217/C00025/C05938,C00327	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Carbamoyl-beta-alanine/L-Asparagine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
Vitamin B3 (nicotinate and nicotinamide) metabolism	7	10	0.005545752457776657	E11,E7,E47,E48,E9,E156,E50	C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00153,C00217/C00025/C05938	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$Nicotinamide$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Pyrimidine metabolism	10	17	0.007226283505587766	E11,E47,E7,E27,E9,E48,E28,E50,E15,E45	C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819,C02642/C00152,C00064/C05100/C00819,C00217/C00025/C05938,C02642/C00152,C00217/C00025/C05938,C00906,C05522/C00380	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Carbamoyl-beta-alanine/L-Asparagine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$5,6-Dihydrothymine$Cytosine (in DNA)/Cytosine
Carnitine shuttle	8	13	0.009242920762961095	E86,E216,E131,E154,E204,E169,E81,E88	C02990,tetpent6crn/tetpent3crn,c226crn,pcrn,elaidcrn/vacccrn/odecrn,lneldccrn/lnlccrn,tmndnccrn,dcsptn1crn/clpndcrn	L-Palmitoylcarnitine$tetracosapentaenoyl carnitine/tetracosapentaenoyl carnitine$cervonyl carnitine$propionyl-carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine$Linoelaidyl carnitine/Linoleyl carnitine$Timnodonyl carnitine$docosa-4,7,10,13,16-pentaenoyl carnitine/clupanodonyl carnitine
Methionine and cysteine metabolism	8	14	0.015965044954205528	E47,E45,E107,E24,E48,E50,E74,E75	C00217/C00025/C05938,C05522/C00380,C00073,C00245,C00217/C00025/C05938,C00217/C00025/C05938,C00491,C00155	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Cytosine (in DNA)/Cytosine$L-Methionine$Taurine$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$L-Homocysteine
Purine metabolism	6	10	0.022939248802621628	E11,E7,E47,E48,E9,E50	C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00217/C00025/C05938	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Aminosugars metabolism	6	10	0.022939248802621628	E11,E7,E47,E48,E9,E50	C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00217/C00025/C05938	L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Putative anti-Inflammatory metabolites formation from EPA	3	4	0.031846063356020506	E48,E50,E47	C00217/C00025/C05938,C00217/C00025/C05938,C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
Bile acid biosynthesis	3	4	0.031846063356020506	E179,E180,E24	C05462/C05466,C05462/C05466,C00245	Chenodeoxyglycocholate/$Chenodeoxyglycocholate/$Taurine
Glycosphingolipid metabolism	3	4	0.031846063356020506	E72,E71,E150	C06124,C06124,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159	Sphingosine 1-phosphate$Sphingosine 1-phosphate$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose
