EID	massfeature_rows	str_row_ion	compounds	compound_names
E2	row1;row24	row1_M[1+];row24_M+H[1+]	C00418	(R)-Mevalonate
E7	row530;row93	row530_M-NH3+H[1+];row93_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E9	row181	row181_M+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E10	row250	row250_M-H2O+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E11	row12;row15;row2;row20;row453;row87	row12_M+Na[1+];row15_M-HCOOH+H[1+];row2_M+H[1+];row20_M-NH3+H[1+];row453_M-H2O+H[1+];row87_M(C13)+H[1+]	C00064;C05100;C00819	L-Glutamine$3-Ureidoisobutyrate$D-Glutamine; D-2-Aminoglutaramic acid
E14	row250	row250_M+H[1+]	C00906	5,6-Dihydrothymine
E15	row123;row15;row2;row453;row493	row123_M+Na[1+];row15_M-CO+H[1+];row2_M+H2O+H[1+];row453_M+H[1+];row493_M(C13)+H[1+]	C00906	5,6-Dihydrothymine
E18	row181;row366;row367;row434	row181_M-CO+H[1+];row366_M-H4O2+H[1+];row367_M+H[1+];row434_M-H2O+H[1+]	C00439	N-Formimidoyl-L-glutamate
E24	row7	row7_M+H[1+]	C00245	Taurine
E27	row9	row9_M+H[1+]	C02642;C00152	N-Carbamoyl-beta-alanine$L-Asparagine
E28	row161	row161_M+H[1+]	C02642;C00152	N-Carbamoyl-beta-alanine$L-Asparagine
E37	row310;row318	row310_M+H[1+];row318_M(C13)+H[1+]	C05842;C05843	N1-Methyl-2-pyridone-5-carboxamide; N'-Methyl-2-pyridone-5-carboxamide; 1-Methyl-5-carboxylamide-2-pyridone$N1-Methyl-4-pyridone-5-carboxamide; N'-Methyl-4-pyridone-5-carboxamide; 1-Methyl-4-pyridone-3-carboximide
E41	row418;row530	row418_M-CO2+H[1+];row530_M+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E42	row61	row61_M+H[1+]	C01879;C04281;C04282;C02238	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline
E44	row17;row20;row267;row584;row98	row17_M(C13)+H[1+];row20_M+H[1+];row267_M+H2O+H[1+];row584_M-CO+H[1+];row98_M-HCOOH+H[1+]	C01879;C04281;C04282	5-Oxoproline$L-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate
E45	row18	row18_M+H[1+]	C05522;C00380	Cytosine (in DNA)$Cytosine
E46	row530	row530_M-H2O+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E47	row61	row61_M-H2O+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E48	row155;row570;row88	row155_M-CO+H[1+];row570_M+H[1+];row88_M-HCOOH+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E50	row20;row267;row312;row532;row584	row20_M-H2O+H[1+];row267_M+H[1+];row312_M(C13)+H[1+];row532_M-CO+H[1+];row584_M-HCOOH+H[1+]	C00217;C00025;C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-Glutamate$L-4-Hydroxyglutamate semialdehyde
E52	row530	row530_M+H[1+]	C02238	5-Oxo-L-proline
E54	row20;row267	row20_M+H[1+];row267_M+H2O+H[1+]	C02238	5-Oxo-L-proline
E66	row302	row302_M-H2O+H[1+]	C00233;C06102;C03465	4-Methyl-2-oxopentanoate$Adipate semialdehyde; Hexan-1-one-6-carboxylate; 6-Oxohexanoate$3-Methyl-2-oxopentanoate; 2-Oxo-3-methylvalerate
E71	row37	row37_M+H[1+]	C06124	Sphingosine 1-phosphate
E72	row31	row31_M+H[1+]	C06124	Sphingosine 1-phosphate
E74	row52	row52_M+H[1+]	C00491	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid
E75	row55	row55_M+H[1+]	C00155	L-Homocysteine
E78	row377	row377_M-H2O+H[1+]	C03758	Dopamine
E80	row246	row246_M+H[1+]	C02727	N6-Acetyl-L-lysine
E81	row62	row62_M+Na[1+]	tmndnccrn	Timnodonyl carnitine
E86	row67	row67_M+H[1+]	C02990	L-Palmitoylcarnitine
E88	row68	row68_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E89	row591	row591_M+Na[1+]	dcsptn1crn;clpndcrn	docosa-4,7,10,13,16-pentaenoyl carnitine$clupanodonyl carnitine
E91	row286;row69	row286_M+H2O+H[1+];row69_M+H[1+]	C05587;C07453	3-Methoxytyramine$Epinine; Deoxyepinephrine
E102	row481;row82	row481_M+2H[2+];row82_M-H2O+H[1+]	C00931	Porphobilinogen
E103	row82	row82_M+H[1+]	C00328;C05647	L-Kynurenine$Formyl-5-hydroxykynurenamine
E105	row222	row222_M+H[1+]	C00073	L-Methionine
E107	row115;row142;row83;row95;row96	row115_M-NH3+H[1+];row142_M(C13)+H[1+];row83_M+H[1+];row95_M(S34)+H[1+];row96_M-HCOOH+H[1+]	C00073	L-Methionine
E108	row155;row534;row88	row155_M+H[1+];row534_M-CO2+H[1+];row88_M-H2O+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E109	row506;row519;row532;row584;row98	row506_M-HCOOH+H[1+];row519_M(C13)+H[1+];row532_M+H[1+];row584_M-H2O+H[1+];row98_M-H4O2+H[1+]	C05519;C00188	L-Allo-threonine$L-Threonine
E120	row94	row94_M+H[1+]	C13747;C07480	1,7-Dimethylxanthine; Paraxanthine$
E122	row136	row136_M+H[1+]	C02838	L-Octanoylcarnitine
E123	row100	row100_M+H[1+]	C02838	L-Octanoylcarnitine
E125	row120;row360;row443	row120_M-H4O2+H[1+];row360_M+H2O+H[1+];row443_M+H[1+]	C00079;CE2172	L-Phenylalanine$
E126	row105;row112;row490	row105_M-HCOOH+H[1+];row112_M(C13)+H[1+];row490_M+H[1+]	C00079;CE2172	L-Phenylalanine$
E130	row105	row105_M-H2O+H[1+]	C00483;C01183;C02735	Tyramine$N,N-Dimethylaniline N-oxide$Phenylethanolamine; 2-Amino-1-phenylethanol
E131	row111	row111_M+Na[1+]	c226crn	cervonyl carnitine
E133	row190	row190_M+H[1+]	C00954;C05634	Indole-3-acetate$5-Hydroxyindoleacetaldehyde
E142	row127;row172;row387	row127_M+H[1+];row172_M-CO+H[1+];row387_M-H2O+H[1+]	C03771	5-Guanidino-2-oxopentanoate; 5-Guanidino-2-oxo-pentanoate; 2-Oxo-5-guanidinopentanoate; 2-Oxo-5-guanidino-pentanoate
E148	row127;row194;row197;row387	row127_M+H2O+H[1+];row194_M-HCOOH+H[1+];row197_M(C13)+H[1+];row387_M+H[1+]	C00135	L-Histidine
E150	row129	row129_M+Na[1+]	C00031;C00221;C00247;C02336;C00267;C00738;C00936;C00095;C00962;C01582;C00795;C00137;C00293;C00124;C00984;C00159	D-Glucose$beta-D-Glucose$L-Sorbose; L-xylo-Hexulose$beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose$alpha-D-Glucose$D-Hexose$$D-Fructose$beta-D-Galactose$Galactose$D-Tagatose; lyxo-Hexulose$myo-Inositol$Glucose$D-Galactose$alpha-D-Galactose$D-Mannose
E152	row242;row461;row538	row242_M+H[1+];row461_M-C3H4O2+H[1+];row538_M-NH3+H[1+]	pcrn	propionyl-carnitine
E153	row441;row549;row575	row441_M-NH3+H[1+];row549_M-H2O+H[1+];row575_M+H[1+]	pcrn	propionyl-carnitine
E154	row130;row137;row537	row130_M(C13)+H[1+];row137_M+H[1+];row537_M-C3H4O2+H[1+]	pcrn	propionyl-carnitine
E156	row131	row131_M+H[1+]	C00153	Nicotinamide
E158	row131	row131_M-H2O+H[1+]	C05828	3-Methylimidazoleacetic acid
E159	row489	row489_M+H[1+]	C05828	3-Methylimidazoleacetic acid
E161	row134	row134_M+H[1+]	CE2122	methyl indole-3-acetate
E164	row548;row549;row575	row548_M-NH3+H[1+];row549_M+H[1+];row575_M+H2O+H[1+]	C12448;egme	Ecgonine methyl ester; Methyl ecgonine$ecgonine methyl ester
E169	row146	row146_M+H[1+]	lneldccrn;lnlccrn	Linoelaidyl carnitine$Linoleyl carnitine
E172	row153;row520	row153_M-H2O+H[1+];row520_M+H[1+]	CE2576	
E174	row153;row520	row153_M+H[1+];row520_M+H2O+H[1+]	CE2577	
E176	row159;row399	row159_M+H2O+H[1+];row399_M+H[1+]	C00246	Butanoic acid; Butanoate; Butyrate; Butyric acid
E177	row159	row159_M+Na[1+]	C06178	1-Methylpyrrolinium
E179	row167	row167_M+H[1+]	C05462;C05466	Chenodeoxyglycocholate$
E180	row198	row198_M+H[1+]	C05462;C05466	Chenodeoxyglycocholate$
E181	row260	row260_M-H2O+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E182	row169	row169_M+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E183	row416;row622	row416_M-H2O+H[1+];row622_M-CO+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E184	row560;row589	row560_M+H[1+];row589_M-CO+H[1+]	C03239;C02946;C04076	6-Amino-2-oxohexanoate; 2-Oxo-6-aminocaproate$4-Acetamidobutanoate$L-2-Aminoadipate 6-semialdehyde; 2-Aminoadipate 6-semialdehyde
E186	row260	row260_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E188	row416	row416_M+H[1+]	C04092;C00450	delta1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylate$2,3,4,5-Tetrahydropyridine-2-carboxylate; delta1-Piperideine-6-L-carboxylate
E195	row333;row389	row333_M(C13)+H[1+];row389_M+H[1+]	C04148;C05642	alpha-N-Phenylacetyl-L-glutamine$Formyl-N-acetyl-5-methoxykynurenamine
E196	row170;row276;row568	row170_M+Na[1+];row276_M+H[1+];row568_M(C13)+H[1+]	C04148;C05642	alpha-N-Phenylacetyl-L-glutamine$Formyl-N-acetyl-5-methoxykynurenamine
E197	row171	row171_M+H[1+]	C01717;C14800;C14802	4-Hydroxy-2-quinolinecarboxylic acid$1-Nitronaphthalene-5,6-oxide$1-Nitronaphthalene-7,8-oxide
E200	row171;row342	row171_M-H2O+H[1+];row342_M-CO+H[1+]	C01252	4-(2-Aminophenyl)-2,4-dioxobutanoate
E202	row172;row194;row453	row172_M+H[1+];row194_M-H4O2+H[1+];row453_M-NH3+H[1+]	C01035	4-Guanidinobutanoate
E204	row179	row179_M+H[1+]	elaidcrn;vacccrn;odecrn	Elaidic carnitine$Vaccenyl carnitine$octadecenoyl carnitine
E208	row188;row209;row218;row543	row188_M-NH3+H[1+];row209_M+H[1+];row218_M(C13)+H[1+];row543_M+Na[1+]	C00327	L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
