pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Nitrogen metabolism	8	10	0.001596504495420553	E40,E41,E11,E7,E43,E61,E9,E62	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C02642/C00152,C00064/C05100/C00819,C02642/C00152	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$N-Carbamoyl-beta-alanine/L-Asparagine$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine
Tryptophan metabolism	12	19	0.003613141752793883	E40,E170,E148,E209,E163,E41,E160,E205,E43,E172,E101,E202	C00217/C00025/C05938,C00031/C00221/C00247/C02336/C00267/C00738/C00936/C00095/C00962/C01582/C00795/C00137/C00293/C00124/C00984/C00159,CE2122,C04148/C05642,C01252,C00217/C00025/C05938,C01717/C14800/C14802,C05660,C00217/C00025/C05938,C00954/C05634,C00328/C05647,C00078/C00525	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glucose/beta-D-Glucose/L-Sorbose; L-xylo-Hexulose/beta-D-Fructose; beta-Fruit sugar; beta-D-arabino-Hexulose; beta-Levulose; Fructose/alpha-D-Glucose/D-Hexose//D-Fructose/beta-D-Galactose/Galactose/D-Tagatose; lyxo-Hexulose/myo-Inositol/Glucose/D-Galactose/alpha-D-Galactose/D-Mannose$methyl indole-3-acetate$alpha-N-Phenylacetyl-L-glutamine/Formyl-N-acetyl-5-methoxykynurenamine$4-(2-Aminophenyl)-2,4-dioxobutanoate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$4-Hydroxy-2-quinolinecarboxylic acid/1-Nitronaphthalene-5,6-oxide/1-Nitronaphthalene-7,8-oxide$5-Methoxyindoleacetate$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Indole-3-acetate/5-Hydroxyindoleacetaldehyde$L-Kynurenine/Formyl-5-hydroxykynurenamine$L-Tryptophan/D-Tryptophan
Alanine and Aspartate Metabolism	9	13	0.004117301067137215	E40,E41,E11,E7,E43,E9,E61,E62,E210	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819,C02642/C00152,C02642/C00152,C00327	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$N-Carbamoyl-beta-alanine/L-Asparagine$N-Carbamoyl-beta-alanine/L-Asparagine$L-Citrulline; 2-Amino-5-ureidovaleric acid; Citrulline
Pyrimidine metabolism	10	16	0.0065540710864633225	E40,E41,E11,E7,E43,E9,E71,E61,E62,E15	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819,C05522/C00380,C02642/C00152,C02642/C00152,C00906	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$Cytosine (in DNA)/Cytosine$N-Carbamoyl-beta-alanine/L-Asparagine$N-Carbamoyl-beta-alanine/L-Asparagine$5,6-Dihydrothymine
Carnitine shuttle	8	12	0.007310310057978321	E129,E75,E90,E175,E176,E76,E141,E190	c226crn,tmndnccrn,C02990,lneldccrn/lnlccrn,tetpent6crn/tetpent3crn,dcsptn1crn/clpndcrn,pcrn,elaidcrn/vacccrn/odecrn	cervonyl carnitine$Timnodonyl carnitine$L-Palmitoylcarnitine$Linoelaidyl carnitine/Linoleyl carnitine$tetracosapentaenoyl carnitine/tetracosapentaenoyl carnitine$docosa-4,7,10,13,16-pentaenoyl carnitine/clupanodonyl carnitine$propionyl-carnitine$Elaidic carnitine/Vaccenyl carnitine/octadecenoyl carnitine
Vitamin B3 (nicotinate and nicotinamide) metabolism	7	10	0.007310310057978321	E40,E41,E11,E7,E43,E9,E153	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819,C00153	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$Nicotinamide
Methionine and cysteine metabolism	8	14	0.02327535501218385	E74,E40,E41,E43,E24,E71,E115,E73	C00491,C00217/C00025/C05938,C00217/C00025/C05938,C00217/C00025/C05938,C00245,C05522/C00380,C00073,C00155	L-Cystine; L-Dicysteine; L-alpha-Diamino-beta-dithiolactic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$Taurine$Cytosine (in DNA)/Cytosine$L-Methionine$L-Homocysteine
Purine metabolism	6	10	0.028485001260398286	E40,E41,E11,E7,E43,E9	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid
Aminosugars metabolism	6	10	0.028485001260398286	E40,E41,E11,E7,E43,E9	C00217/C00025/C05938,C00217/C00025/C05938,C00064/C05100/C00819,C00064/C05100/C00819,C00217/C00025/C05938,C00064/C05100/C00819	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$L-Glutamine/3-Ureidoisobutyrate/D-Glutamine; D-2-Aminoglutaramic acid
Putative anti-Inflammatory metabolites formation from EPA	3	4	0.03680362994706327	E43,E40,E41	C00217/C00025/C05938,C00217/C00025/C05938,C00217/C00025/C05938	D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde$D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid/L-Glutamate/L-4-Hydroxyglutamate semialdehyde
