pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Methionine and cysteine metabolism	2	19	0.00042013276195277706	E1,E2	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Pyrimidine metabolism	2	34	0.0007562389715149988	E1,E2	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.022267036383497186			
Hyaluronan Metabolism	0	5	0.022267036383497186			
N-Glycan biosynthesis	0	2	0.022267036383497186			
Glycolysis and Gluconeogenesis	0	2	0.022267036383497186			
Glycosphingolipid biosynthesis - ganglioseries	0	5	0.022267036383497186			
R Group Synthesis	0	0	0.022267036383497186			
C5-Branched dibasic acid metabolism	0	0	0.022267036383497186			
Pyruvate Metabolism	0	0	0.022267036383497186			
Sialic acid metabolism	0	10	0.022267036383497186			
Chondroitin sulfate degradation	0	5	0.022267036383497186			
Di-unsaturated fatty acid beta-oxidation	0	1	0.022267036383497186			
Putative anti-Inflammatory metabolites formation from EPA	0	4	0.022267036383497186			
Linoleate metabolism	0	16	0.022267036383497186			
Hexose phosphorylation	0	8	0.022267036383497186			
Vitamin B2 (riboflavin) metabolism	0	0	0.022267036383497186			
Squalene and cholesterol biosynthesis	0	2	0.022267036383497186			
Galactose metabolism	0	9	0.022267036383497186			
Keratan sulfate degradation	0	9	0.022267036383497186			
Glycerolipid metabolism	0	0	0.022267036383497186			
Carnitine shuttle	0	17	0.022267036383497186			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.022267036383497186			
Alkaloid biosynthesis II	0	4	0.022267036383497186			
Vitamin B1 (thiamin) metabolism	0	0	0.022267036383497186			
Glycosphingolipid biosynthesis - globoseries	0	5	0.022267036383497186			
Histidine metabolism	0	31	0.022267036383497186			
Vitamin B5 - CoA biosynthesis from pantothenate	0	3	0.022267036383497186			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.022267036383497186			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.022267036383497186			
Bile acid biosynthesis	0	7	0.022267036383497186			
Parathio degradation	0	0	0.022267036383497186			
Propanoate metabolism	0	2	0.022267036383497186			
Blood Group Biosynthesis	0	0	0.022267036383497186			
