pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Methionine and cysteine metabolism	2	19	0.00033610620956222166	E2,E1	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Pyrimidine metabolism	2	34	0.0010923451810772205	E2,E1	C05522/C00380,C05522/C00380	Cytosine (in DNA)/Cytosine$Cytosine (in DNA)/Cytosine
Vitamin D3 (cholecalciferol) metabolism	0	0	0.020418452230904965			
Hyaluronan Metabolism	0	5	0.020418452230904965			
N-Glycan biosynthesis	0	2	0.020418452230904965			
Glycolysis and Gluconeogenesis	0	2	0.020418452230904965			
Glycosphingolipid biosynthesis - ganglioseries	0	5	0.020418452230904965			
R Group Synthesis	0	0	0.020418452230904965			
C5-Branched dibasic acid metabolism	0	0	0.020418452230904965			
Pyruvate Metabolism	0	0	0.020418452230904965			
Sialic acid metabolism	0	10	0.020418452230904965			
Chondroitin sulfate degradation	0	5	0.020418452230904965			
Di-unsaturated fatty acid beta-oxidation	0	1	0.020418452230904965			
Putative anti-Inflammatory metabolites formation from EPA	0	4	0.020418452230904965			
Linoleate metabolism	0	16	0.020418452230904965			
Hexose phosphorylation	0	8	0.020418452230904965			
Vitamin B2 (riboflavin) metabolism	0	0	0.020418452230904965			
Squalene and cholesterol biosynthesis	0	2	0.020418452230904965			
Galactose metabolism	0	9	0.020418452230904965			
Keratan sulfate degradation	0	9	0.020418452230904965			
Glycerolipid metabolism	0	0	0.020418452230904965			
Carnitine shuttle	0	17	0.020418452230904965			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.020418452230904965			
Alkaloid biosynthesis II	0	4	0.020418452230904965			
Vitamin B1 (thiamin) metabolism	0	0	0.020418452230904965			
Glycosphingolipid biosynthesis - globoseries	0	5	0.020418452230904965			
Histidine metabolism	0	31	0.020418452230904965			
Vitamin B5 - CoA biosynthesis from pantothenate	0	3	0.020418452230904965			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	0	0.020418452230904965			
Glycosphingolipid biosynthesis - lactoseries	0	0	0.020418452230904965			
Bile acid biosynthesis	0	7	0.020418452230904965			
Parathio degradation	0	0	0.020418452230904965			
Propanoate metabolism	0	2	0.020418452230904965			
Blood Group Biosynthesis	0	0	0.020418452230904965			
Electron transport chain	0	0	0.020418452230904965			
Vitamin H (biotin) metabolism	0	6	0.020418452230904965			
Biopterin metabolism	0	7	0.020418452230904965			
Vitamin E metabolism	0	1	0.020418452230904965			
Androgen and estrogen biosynthesis and metabolism	0	3	0.020418452230904965			
Glycine, serine, alanine and threonine metabolism	0	37	0.020418452230904965			
Caffeine metabolism	0	3	0.020418452230904965			
Lipoate metabolism	0	6	0.020418452230904965			
Heparan sulfate biosynthesis	0	0	0.020418452230904965			
Drug metabolism - cytochrome P450	0	7	0.020418452230904965			
Vitamin B9 (folate) metabolism	0	6	0.020418452230904965			
Tryptophan metabolism	0	44	0.020418452230904965			
Glyoxylate and Dicarboxylate Metabolism	0	0	0.020418452230904965			
Urea cycle/amino group metabolism	0	67	0.020418452230904965			
De novo fatty acid biosynthesis	0	2	0.020418452230904965			
Vitamin A (retinol) metabolism	0	0	0.020418452230904965			
Valine, leucine and isoleucine degradation	0	19	0.020418452230904965			
Fatty Acid Metabolism	0	3	0.020418452230904965			
Glycosaminoglycan degradation	0	0	0.020418452230904965			
Fatty acid oxidation	0	0	0.020418452230904965			
Fructose and mannose metabolism	0	6	0.020418452230904965			
ROS Detoxification	0	0	0.020418452230904965			
Xenobiotics metabolism	0	11	0.020418452230904965			
Saturated fatty acids beta-oxidation	0	2	0.020418452230904965			
CoA Catabolism	0	3	0.020418452230904965			
Omega-3 fatty acid metabolism	0	1	0.020418452230904965			
Butanoate metabolism	0	29	0.020418452230904965			
Mono-unsaturated fatty acid beta-oxidation	0	0	0.020418452230904965			
Glycosphingolipid biosynthesis - neolactoseries	0	0	0.020418452230904965			
Vitamin B3 (nicotinate and nicotinamide) metabolism	0	14	0.020418452230904965			
Ascorbate (Vitamin C) and Aldarate Metabolism	0	2	0.020418452230904965			
Geraniol degradation	0	0	0.020418452230904965			
D4&E4-neuroprostanes formation	0	0	0.020418452230904965			
Vitamin D	0	0	0.020418452230904965			
Dynorphin metabolism	0	0	0.020418452230904965			
Heparan sulfate degradation	0	7	0.020418452230904965			
Fatty acid oxidation, peroxisome	0	0	0.020418452230904965			
Polyunsaturated fatty acid biosynthesis	0	0	0.020418452230904965			
Purine metabolism	0	13	0.020418452230904965			
Alanine and Aspartate Metabolism	0	17	0.020418452230904965			
Glutathione Metabolism	0	12	0.020418452230904965			
Keratan sulfate biosynthesis	0	0	0.020418452230904965			
TCA cycle	0	1	0.020418452230904965			
3-Chloroacrylic acid degradation	0	0	0.020418452230904965			
Arachidonic acid metabolism	0	7	0.020418452230904965			
Sphingolipid metabolism	0	0	0.020418452230904965			
O-Glycan biosynthesis	0	0	0.020418452230904965			
Glycosphingolipid metabolism	0	14	0.020418452230904965			
Limonene and pinene degradation	0	6	0.020418452230904965			
Arginine and Proline Metabolism	0	51	0.020418452230904965			
Proteoglycan biosynthesis	0	0	0.020418452230904965			
Vitamin K metabolism	0	0	0.020418452230904965			
Glycerophospholipid metabolism	0	18	0.020418452230904965			
Glutamate metabolism	0	19	0.020418452230904965			
Porphyrin metabolism	0	9	0.020418452230904965			
Phosphatidylinositol phosphate metabolism	0	2	0.020418452230904965			
Benzoate degradation via CoA ligation	0	0	0.020418452230904965			
Prostaglandin formation from arachidonate	0	0	0.020418452230904965			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	0	0.020418452230904965			
Vitamin B6 (pyridoxine) metabolism	0	7	0.020418452230904965			
Pentose and Glucuronate Interconversions	0	1	0.020418452230904965			
Atrazine degradation	0	0	0.020418452230904965			
N-Glycan Degradation	0	9	0.020418452230904965			
Leukotriene metabolism	0	4	0.020418452230904965			
Vitamin B12 (cyanocobalamin) metabolism	0	0	0.020418452230904965			
Fatty acid activation	0	6	0.020418452230904965			
Carbon fixation	0	1	0.020418452230904965			
Nucleotide Sugar Metabolism	0	0	0.020418452230904965			
Ubiquinone Biosynthesis	0	1	0.020418452230904965			
1- and 2-Methylnaphthalene degradation	0	0	0.020418452230904965			
Aspartate and asparagine metabolism	0	70	0.020418452230904965			
Nitrogen metabolism	0	11	0.020418452230904965			
Drug metabolism - other enzymes	0	0	0.020418452230904965			
Aminosugars metabolism	0	21	0.020418452230904965			
Tyrosine metabolism	0	63	0.020418452230904965			
Beta-Alanine metabolism	0	17	0.020418452230904965			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.020418452230904965			
C21-steroid hormone biosynthesis and metabolism	0	10	0.020418452230904965			
Starch and Sucrose Metabolism	0	2	0.020418452230904965			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.020418452230904965			
Omega-6 fatty acid metabolism	0	0	0.020418452230904965			
Phytanic acid peroxisomal oxidation	0	0	0.020418452230904965			
Pentose phosphate pathway	0	4	0.020418452230904965			
Lysine metabolism	0	36	0.020418452230904965			
Selenoamino acid metabolism	0	4	0.020418452230904965			
